word	definition	language
culminate	reach high point (Beethoven's musical genius ... in the 9th Symphony, which many consider his greatest work)	English
incense	make furious (When Herb bought football tickets for a game on the day of their wedding anniversary, Jill was ...)	English
circumvent	get out of duty	English
recrimination	mutual attacks (The two brothers sat and cried, pointing fingers and making elaborate .. Of the others' guilt	English
pedestrian	lacking imagination (while Nan was always engaged in philosophical speculation, her brother was occupied with far more ... concerns: how to earn a salary and run a household)	English
concomitant	accompanying (... with his desire for nature was a desire for the culture and energy of a big city)	English
stem	limit growth (To .. The tide of applications, the prestigious Ivy requires that each applicant score at least 330 on the revised GRE)	English
facile	lacking depth (Many news shows provide .. Explanations to complex politics, so I prefer to read in-depth reporting of the New York Times)	English
abrogate	overturn a law (As part of the agreement between the labor union and the company, the worker .. Their right to strike for four years in exchange for better health insurance)	English
malapropism	confusing similar words (Whenever I looked glum, my mother would offer to share an amusing antidote wit me - an endearing ... of anecdote that never failed to cheer me up)	English
glean	collect (Herb has given us no formal statement about his background, but from various hints, I have ... that he grew up in difficult circumstances)	English
redress	correct unfairness (Barry's ... for forgetting his wife's birthday two years in a row was surprising her with a trip to Tahiti)	English
apposite	appropriate (For a writer with such quick wit, Jonathan Swift has a rather .. Name)	English
moot	irrelevant (Since the Board just terminated Steve as the CEO, the finance committee's opinion of his marketing plan for next year is now ..)	English
unconscionable	unreasonable (The lawyer's demands were so ... that rather than pay an exorbitant sum or submit himself to any other inconveniences, the defendant decided to find a new lawyer)	English
promulgate	officially make known (The president wanted to ...the success of the treaty negotiations, but had to wait until Congress formally approved the agreement)	English
bridle	restrain (New curfew laws have ...people's tendency to go out at night)	English
desiccated	lacking vitality (Few novelists over 80 are able to produce anything more than ...works - boring shadows of former books.)	English
construe	interpret (The author's inability to take aside on the issue was .. By both his opponents and supporters as a sign of weakness)	English
jaundice	bias (Shelly was .. Towards Olivia; though the two had once been best friends, Olivia had become class president, prom queen, and to make matters worse, the girlfriend of the one boy Shelly liked)	English
probity	integrity (The ideal politician would have the ...to lead, but reality gravely falls short of the ideal of morally upright leaders)	English
excoriate	criticize harshly (Entrusted with the prototye to his company's latest smartphone, Larry, during a late night karaoke bout, let the prototype slip into the hands of a rival company -- the next day Larry was ..., then fired.)	English
dogmatic	opinionated (Bryan is ... in his belief that the earth is flat, claiming that all pictures of a spherical earth are computer generated)	English
fraternity	a group of people who have the same job or interest	English
dispensation	exemption (Since her father is a billionaire, she is give .. From many of the school's policies)	English
opinionated	have very strong opinions and refuse to accept that they may be wrong	English
utterance	statement	English
stance	a way of thinking about something	English
semblance	misleading appearance (While the banker maintained a ...of respectability in public, those who knew him well were familiar with his many crimes)	English
balk	refuse to accept (The students were willing to clean up the broken glass, but when the teacher asked them to mop the entire floor, they...citing reasons why they needed to leave.)	English
cogent	convincing (A ... argument will change the minds of even the most skeptical audience)	English
superfluous	more than necessary (How can we hope to stay open if we don't eliminate all ... spending , like catered meetings and free acupuncture Tuesday?)	English
umbrage	offense (Since he was so in love with her, he took .. At her comments, even though she had only meant to gently tease him)	English
straying	mislead	English
trenchant	incisive (Jill presented a rather superficial treatment of sales in Asia, but her ...analysis of sales in Europe inspired a number of insights into how to proceed in that market)	English
checkered	disreputable (one by one, the presidential candidates dropped out of the race, their respective .. Past - from embezzlement to infidelity - sabotaging their campaigns)	English
mockery	the sardonic action	English
disenchanted	disappointed with	English
litany	long account (Mr. Rogers spoke to a Senate committee and did not give a ...of reasons to keep funding the program, but instead, appealed to the basic human decency of all present)	English
untoward	inconvenient (Some professors find teaching ... as having to prepare for lectures and conduct office hours prevents them from focusing on their research)	English
espouse	support a cause (As a college student, Charlie ... Marxism, growing his beard out and railing against the evils of the free market)	English
incumbent	necessary (Middle managers at times make important decisions, but real responsibility for the financial well-being of the corporation is ultimately ...on the CEO)	English
demoralized	having lost confidence or hope; disheartened.	English
red-herring	something, especially a clue, that is or is intended to be misleading or distracting.	English
get the hang of it	begin to understand or realize how to do it	English
keystone habits	small changes or habits that people introduce into their routines that unintentionally carry over into other aspects of their lives	English
concur	agree	English
supersede	take the place of	English
legitimacy	ability to be defended with logic or justification; validity.	English
divergent	conformity to the law or to rules	English
articulate	(adj) having or showing the ability to speak fluently and coherently	English
hypnotize	mesmerize	English
mesmerize	to hold completely the attention or interest	English
resolve	determine	English
adamant	unyielding	English
indifference	apathy	English
futile	pointless	English
check	hold back from doing	English
unyielding	completely unwilling to change a decision	English
evasive	avoiding commitment	English
inarticulate	not speaking clearly	English
intimation	indirect suggestion	English
pragmatic	practical	English
spartan	unconcerned with comfort	English
savvy	well-informed	English
elude	fail to be grasped	English
hound	pursue relentlessly	English
improvident	not careful	English
arduous	requiring great effort	English
forthright	honest in speaking	English
afford	give opportunity for	English
betray	reveal (with gold medal at stake, the gymnast awaited his turn, his quivering lip betraying his intense emotions)	English
primacy	of greatest importance	English
preempt	take the place of	English
languish	become weak	English
fortify	to strengthen	English
hefty	Large in size, height, quantity	English
Realm	Region, area	English
utter	complete	English
stringent	(of regulations, requirements, or conditions) strict, precise, and exacting	English
deterrence	the practice of dissuading bad behavior through the threat of significant punishment	English
budge	make or cause to make the slightest movement	English
exert	v. use authority,influence to make sth happen | make an effort	English
hindrance	one that creates difficulties	English
compel	v. force | oblige to do sth	English
nudge	v. gently tell someone to do without forcing them	English
curb	v.n. restrain or control something	English
instill	v. gradually but firmly establish (an idea or attitude) in a person's mind	English
resort to	phrasal v.  you do not want to do because you cannot find any other way of achieving something	English
galvanize	v. shock or excite someone into taking action	English
intrinsic	adj. belonging  naturally, essential	English
extrinsic	adj. not part of essential nature of someone or something	English
stem from	pv. start to developp as the result of something	English
outsmart	v. to obtain advantage over someony by using your intelligence	English
uphold	v. conserve or defend a principal or law	English
akin to	adj.  ~ similar/like to	English
quintessential	adj. representing the most perfect or most typical example of something	English
hinge on	pv. to depend on	English
expound on	pv. explain in detail	English
constitute	v. to be a part of (local tax funding rose over 10 million pounds by 2018, ....ing an increased share)	English
entail	v. to make something necessary	English
contemporary	existing or happening now	English
encroach	to take control or possession of something in a gradual way and often without being noticed	English
telltail	revealing	English
corollary	consequence	English
admonish	warn	English
vindictive	seeking revenge	English
perpetuate	make happen indefinitely	English
conciliate	make peace with	English
treacherous	involving betrayal	English
halcyon	peaceful	English
surreptitious	stealthy	English
stealthy	quiet and careful in order not to be seen or heard	English
disenfranchise	deprive of votes	English
incessant	not stopping	English
conflagration	large fire	English
perfunctory	done routinely	English
precarious	dangerous	English
preemptive	done first	English
subterfuge	deceit. For example, Finally deciding to abandon all ...., Arthur revealed to Cindy everything about his secret affair over the past two years.	English
baleful	threatening	English
vacillate	waver	English
reprisal	retaliatory action (Eg: The Old Testament doctrine of an eye for an eye is not the kind of retailiation practiced in war, rather, an arm, a leg, and both ears are the ... for the smallest scratch)	English
retaliatory	avengeful	English
blunder	a serious mistake, usually caused by not taking care or thinking	English
exacerbate	make worse	English
serendipity	luck	English
maxim	short saying	English
moribund	about to die	English
encumber	hold back	English
chastise	scold	English
truculence	tendency to fight	English
tempered	moderated in effect	English
hypocrisy	a situation in which someone pretends to believe something that they do not really believe, or that is the opposite of what they do or say at another time	English
gubernatorial	relating to a state governor or the office of state governor	English
presentiment	sense of the future	English
enormity	great wickedness. Example: The (blank) of Pol Pot's regime is hard to capture in words -- within months hundreds of thousands of cambodians lost their lives.	English
ballot	vote	English
legitimate	conforming to the law or to rules.	English
armistice	a formal agreement between two countries or groups at war to stop fighting for a particular time, especially to talk about possible peace	English
infiltrate	to secretly become part of a group in order to get information or to influence the way that group thinks or behaves	English
prevail	to get control or influence	English
flee	escape by running away	English
espionage	spying	English
complicit	taking part in	English
rescind	cancel official	English
tout	advertise strongly	English
vie	compete for	English
collusion	secret cooperation	English
forthcoming	easily available. The president announced that the senators were about to reach a compromise and that he was eager to read (blank) details of the bill	English
bereft	sad because of loss	English
tender	offer up formally. The government was loath to tender more money in the fear that it might set off inflation	English
peripatetic	travelling on foot	English
flounder	struggle	English
acme	highest point (The new Cessna airplanes will be the .. Of comfort, offering reclining seats and ample legroon)	English
rapprochement	reconciliation	English
phantasmagorical	illusive (those suffered from malaria fal into a feverish sleep, their world a whirligig of...; if they recover, they are unsure of what actually took place and what was simply a product of their febrile imaginations)	English
amorphous	shapeless (His study plan for the GRE was at best ..., he would do questions from random pages in any one of seven test prep books)	English
malady	illness (The town was struck by a ... throughout the winter that left most people sick in bed for two weeks)	English
gerrymander	manipulate votes (years ago, savvy politicians had ... the city center to ensure their re-election)	English
melee	wild fight (After enduring daily taunts about my name, I became enraged and pummeled the schoolyard bully and his sycophantic friend in a brutal ...)	English
anomalous	not normal (According to those who do not believe in climate change, the extreme weather over the last five years is simply ... - daily temperatures should return to their old averages, they believe)	English
vanquish	defeat thoroughly (for years, Argentina would dominate in World Cup qualifying matches, only to be ... by one of the European countries during the late stages of the tournament)	English
respite	pause for work (Every afternoon, the small company has a respite in which workers play football or board games)	English
goad	aggressively urge on (Doug did not want to enter the race, but Jim, through a steady stream of taunts, ... him into signing up for it)	English
lionize	celebrate (Students in the US learn to ...Jefferson, Franklin, and Washington because they are the founding fathers of the nation)	English
zeitgeist	spirit of the times (Each decade has it own ...-the 1990's was a prosperous time in which the promise of the American Dream never seemed more palpable)	English
mollify	soothe (In the morning, Harriat was unable to ...Harry, if he happened to become angry, unless he had his cup of coffee)	English
junta	group seizing power (As dangerous of a threat as North Korea is, some analysts believe that were a .. Suddenly to gain power, it could be even more unpredictable and bellicose than the current leadership)	English
atavism	throwback (Much of modern art movement was an ...to a style of art found only in small villages through Africa and South America)	English
internecine	marked by internal strife (The guerilla group, which had become so powerful as to own the state police, was finally destroyed by an ...conflict)	English
broadside	verbal attack (Political ...are usually strongest in the weeks leading up to a national election)	English
strife	strong disagreement or fighting (Money is a major cause of ... in many marriages. )	English
objurgate	scold severely (The manager spent an hour ... the employee in the hopes that he would not make these mistakes again)	English
exhort	encourage (Nelson's parent ..him to study medicine, urging him to choose a respectable profession, intransigent, Nelson left home to become a grffiti artist)	English
arrogate	seize without authority (Arriving at the small town, the outlaw ..the privileges of a lord, asking the frightened citizens to provide foo, drink and entertainment)	English
hegemony	dominance (Until the Spanish Amada was defeated in 1587, Spain had ...over the seas, controlling waters stretching as far as the Americas)	English
inevitable	certain to happen, unavoidable	English
appalling	causing shock or dismay; horrific.	English
deteriorate	become progressively worse	English
undermine	erode the foundation	English
transitory	short-lasting	English
intermittent	occuring on and off	English
unruly	noisy, uncontrollable	English
unassailable	immune to attack	English
corroborate	confirm (Her claim that frog populations were falling precipitously in Central America was ... by locals)	English
jubilant	overjoyed	English
meticulous	detail oriented	English
animosity	extreme hostility (The governor's animosity toward his rival was only inflamed when the latter spread false lies regarding the governor's first term)	English
impending	about to happen	English
thwart	v. To prevent; to halt; to cause to fail; to foil; to frustrate.	English
bemoan	An expression of grief, suffering, or sadness.	English
heyday	pinnacle	English
intrude	to come or go in without permission or welcome	English
gin up	v. stir up or generate some level of enthusiasm or support for something	English
vault out of	 v. quickly exit or escape a situation or place by jumping over it, often implying the use of hands or a pole for support	English
hitherto	adv. until now	English
embark on	pv. start something new	English
wreaking havoc	n. used to describe the destructive or chaotic effects of something or someone	English
unseasoning	not matured or developed by growth or passage of time	English
transient	short-lasting	English
inchoate	not fully formed	English
nuance	subtlety	English
subtlety	a small but important detail	English
celerity	quickness	English
histrionic	over theartrical	English
dilapidated	run down	English
malodorous	stinky	English
disparate	fundamentally different	English
dispatch	speed, efficiency	English
denouement	resolution of a story	English
juggernaut	unstoppable force	English
coalesce	fuse	English
fuse	to join together physically	English
pecuniary	relating to money	English
eclectic	having a variety	English
inviolate	sacred	English
mellifluous	sweet-sounding	English
unflappable	cool under pressure	English
juxtapose	place side by side	English
imponderable	difficult to assess	English
boon	helpful thing	English
obstreperous	noisily defiant	English
stymie	hinder	English
hinder	to limit the ability of someone to do something	English
austere	unadorned	English
unadorned	plain and simple, with little or no make up/ decoration	English
impregnable	indestructible	English
opulence	wealth	English
dearth	shortage	English
magisterial	domineering	English
pittance	small amount (Vinny's uncle beamed smugly about how he'd offered his nephew fifty dollars for his Harvard tuition; even twice the amount would have been a mere pittance)	English
ephemeral	short-lived (The lifespan of a mayfly is ..., lasting from a few hours to a couple of days)	English
veneer	disguising layer (Mark Twain referred to the Victorian Period in America as the Gilded Age, implying the ample moral corruption that lay beneath a mere ... of respectability)	English
ponderous	moving slowly (Landen with 20 kilograms of college text boooks, the freshman move .. across the campus)	English
genteel	refined (A live string quarter would provide a more .. Air to the wedding than would a folk singer)	English
expurgate	censor (The censor .. Every reference to sex and and drugs, converting the rapper's raunchy flow into a series of bleeps)	English
sartorial	relating to clothes (Monte was astute at navigating the world of finance, ...ly, however, he was found wanting - he typically would attempt to complement his beige tie with a gray suit and white pants)	English
circumscribe	restrict with limit (Their tour of South America was... so that they saw only popular destinations and avoided the dangerous parts of cities)	English
conflate	mix together (In her recent book, the author ... several genres -- the detective story, the teen thriller and the vampire romance - to create a memorable read)	English
immure	confine (The modern supermarket experience makes many feel claustrophobic, as they are ... in walls upon walls of products)	English
plodding	slow-moving (Charlie may seem to run at a ...pace, but he is an ultramarathoner, meaning he runs distances of up to 100 miles, and can run for ten hours at a stretch)	English
pithy	concise yet expressive (I enjoy reading the Daodejing for its ..and insightful prose, it always give me something to think about)	English
flammable	chemicals, gases, cloth, or other things catch fire and burn easily.	English
gelatinous	substances or mixtures are wet and sticky	English
glut	excessive supply (the Internet offers such a ...of news related stories that many find it difficult to know which story to read first.)	English
delicate	fragile	English
smear	coat or mark (something) messily or carelessly with a greasy or sticky substance	English
dab	press against (something) lightly with a piece of absorbent material in order to clean or dry it.	English
ceres	is the largest object in the asteroid belt between the orbits of Mars and Jupiter	English
asteroid	is a minor planet of the inner Solar System	English
meteoric	very fast	English
impeccable	flawless	English
nonchalant	appearing unconcerned	English
iconoclastic	defying tradition	English
antiquated	old	English
amply	fully (The boat was amply supplied for its year at sea)	English
compound	make more intense	English
hodgepodge	mixture	English
profusion	abundance	English
cornucopia	abundant supply	English
effervescent	bubbly	English
scrumptious	extremely appetizing or delicious	English
distill	v. extract the most essential meaning/aspect	English
manifold	adj. many and different types	English
splurge on	v. spend a lot of money on buying goods esp. expensive one	English
Reverential	caused by, or full of respect and admiration	English
messiah	a leader who is believed to have the power to solve the world's problems	English
ambivalent	having two opposing feelings at the same time, or being uncertain about how you feel:	English
toil over	To work continually, diligently, and strenuously to complete something	English
wanton	(of something bad, such as damage, cruelty, waste) extreme and showing no care at all	English
clemency	kindness when giving a punishment	English
rhetorical	intended to seem important or influence people:	English
toss off the most pointed barbs	deploy the harshest insults	English
prone to do	likely to suffer from an illness or show a particular negative characteristic:	English
snub	insult someone by not giving them any attention or treating them as they are not important	English
cerebral	brainy	English
swindle	dupe	English
hoodwink	deceive	English
benigh	harmless	English
laudable	praiseworthy	English
commendable	deserving praise	English
dictatorial	extremely bossy	English
badger	pester	English
aphorism	a short clever saying that is intended to express a general truth	English
placate	to stop someone from feeling angry:	English
steadfast	unwavering	English
creditable	good but not great	English
pariah	outcast	English
outcast	a person who has been rejected by society or a social group.	English
aesthetic	relate to beauty	English
ebullient	enthusiastic	English
artific	trickery	English
trickery	wangle	English
squander	waste	English
nettlesome	annoying	English
chargin	dismay	English
dismay	feeling of unhappiness and disapointment	English
antipathy	hatred	English
lachrymose	weepy	English
morose	gloomy	English
weepy	feeling likely to cry	English
dog	pursue	English
antic	grotesque	English
grotesque	strange and unpleasant, especially in a silly or slightly frightening way	English
jingoist	overly patriotic	English
patriotic	showing love for your country and being proud of it	English
malinger	avoid work	English
apprehension	anxiety	English
endemic	native	English
enmity	hate	English
clemency	mercy	English
illustrious	famous	English
epigram	witty saying	English
witty	using words in a clever and funny way:	English
lethargic	weary	English
weary	tiresome	English
avarice	greed	English
noisome	foul-smelling	English
fawn	flatter extremely	English
tempestuous	intensely emotional	English
precipitate	hasty	English
spendthrift	wasteful with money	English
concede	admit wrongdoing	English
anemic	lacking energy	English
uncanny	strange, unsetting	English
affable	likeable	English
dolorous	sorrowful	English
deride	v. treat or speak of with contempt	English
smug	self-satisfied	English
tribulation	suffering	English
puissant	powerful	English
unimpeachable	blameless	English
inure	v. to accustom or become accustomed to something, especially something unpleasant or difficult	English
sardonic	mocking	English
dovetail	fit together tightly	English
sagacious	wise	English
scrupulous	using extreme care	English
patronize	treat condescendingly	English
contemptuous	scornful	English
scornful	look down sb	English
credulity	tendency to believe	English
flippant	not showing respect	English
emulate	imitate	English
officious	meddlesome	English
ethereal	extremely delicate	English
gaffe	social blunder	English
firebrand	troublemaker	English
pundit	expert	English
retiring	shy	English
irascible	easily angered	English
percipient	perceptive	English
idiosyncrasy	peculiarity	English
peculiarity	the quality of being strange or unusual, or an unusual characteristic or habit	English
impecunious	lacking money	English
miscreant	lawbreaker	English
hauter	extreme pride	English
complaisance	willingness to please others by being polite and fitting in with their plans	English
apathetic	uncaring	English
grandiloquent	pompous	English
pompous	arrogant	English
hubris	excessive pride	English
capitulate	surrender	English
solicitous	anxious to please	English
resignation	accepting the unpleasant	English
ingenuity	cleverness	English
voracious	very hungry	English
eminent	highly respected	English
exasperate	annoy	English
prosaic	dull	English
exalt	praise highly. Eg: the teenage ... the rock star, covering their bedrooms with posters of him.	English
fledging	inexperienced	English
abjure	give up	English
stalwart	dependable	English
conniving	conspiring to do bad	English
imperious	domineering. Eg. Children are .. With each other before they learn that earning someone's respect is better than demanding	English
domineering	bossy	English
deceit	keep the truth hidden	English
innocuous	completely harmless	English
ordain	to officially make someone a priest or other religious leader	English
desperado	someone who is willing to do things that involve risk or danger, often criminal things	English
anathema	something that is strongly disliked or disapproved of	English
congenital	(of a disease or physical abnormality) present from birth	English
paternalistic	making decisions for other people rather than letting them take responsibility for their own lives	English
curmudgeon	grouch. (Eg: Since Uncle Mike was the family (blank), each thanksgiving he was plied with copious amount of wine, in the hope that he would become less grouchy)	English
grouch	.n, .v a person who often complains	English
browbeat	boss around bully. Example: During the interrogation, the suspect was browbeaten into signing a false confession.	English
bristle	react angrily	English
pliantiff	someone who makes a legal complaint against someone else in court	English
reflex	a physical reaction to something that you cannot control	English
foolhardy	rash	English
rash	softheaded	English
bellicose	warlike	English
warlike	belligerent	English
consummate	masterful. Tyler was (blank) musician: he was able to play the guitar, harmonica, and the drum at the same time	English
self-effacing	modest. The most admirable teachers and respected leaders are those who are (blank), directing attention and praise to their students and workers	English
vehement	intensely emotional	English
cow	intimidate	English
intimidate	threaten	English
boorish	ill-mannered	English
penurious	poor	English
imprudent	not wise	English
philistine	hater of culture	English
urbane	sophisticated	English
effrontery	cheeky behaviour	English
martinet	disciplinarian	English
phlegmatic	not showing emotion	English
aplomb	coolness under strain	English
vituperate	scold hashly	English
fecund	mentally productive	English
obstinate	stubborn	English
derogative	insulting	English
loath	reluctant	English
despot	tyrant	English
artless	without deception	English
deception	subterfuge	English
erudite	scholarly	English
con artist	a person who deceives others	English
destitute	poor	English
diabolical	wicked	English
asperity	harshness of manner	English
pine	yearn for	English
yearn	asprie, crave	English
confound	utterly confuse	English
impetuous	rash	English
contrite	remorseful	English
remoseful	feeling sad and guilty	English
humdrum	lacking excitement	English
alacrity	eager willingness	English
ribald	comically vulgar	English
vulgar	trivial	English
sullen	brooding	English
brooding	worried	English
mettlesome	courageous	English
insipid	dull, bland	English
capricious	impulsive	English
impulsive	having the power of or activity driving or impelling	English
plucky	courageous	English
lampoon	poke fun at (Mark Twain understood that ... a bad idea with humor was the most effective criticism)	English
tawdry	cheap, showy (Carol expected to find New York city magical, the way so many movies had portrayed it, but she was surprised how often... displays took the place of genuine elegance)	English
hoary	ancient (Most workout gurus are young, fit people, whereas most yoga gurus are ... men with long white beards)	English
sanctimonious	holier-than-thou (Even during the quiet sanctity of evening prayer, she held her chin high, a ... sneer forming on her face as she eyed those who were attending church for the first time)	English
holier-than-thou	charaterized by an attitude of moral superiority	English
timorous	shy	English
haughty	arrogant (The ... manager didn't believe that any of his subordinates could ever have an insight as brilliant his own.)	English
callow	inexperienced (Both Los Angeles and New York are known for ... out of towners hoping to make it big)	English
cupidity	greed for money (Some believe people that amassing as much wealth as possible is the meaning to life - yet they often realize that .. Brings anything but happiness)	English
viracious	not live directly (The advent of twitter is a celebrity stalker's dream, as he or she can - through hundreds of intimate tweets - ... live the life of a famous person.)	English
rile	annoy (dan is usually calm and balanced but it takes only one intense glare from Sabrina to .. Him)	English
fell	evil (For fans of the Harry Potters, the ... Lord Voldermort who terrorized poor Harry for seven lengthy installments has finally been vanquishedly by the forces of good - unless, that is, JK Rowling decides to come out of retirement.)	English
kowtow	bow to (Paul ... to his boss so often the boss herself became nauseated by his sycophancy)	English
bow to	to do what someone else wants you to do, usually unwillingly	English
vacuous	lacking intelligence	English
scintillating	brilliant	English
indigent	poor	English
besotted	very infatuated	English
infatuated	possessed with an intense but short-lived passion or admiration for someone.	English
garrulous	talkative	English
amok	frenzied	English
frenzied	foolhardy (Wherever the bowl haircut teen idon went his legions of screaming fans ran through the street ..., hoping for a glance at his boyish face)	English
insolent	rude	English
inanity	silliness	English
lascivious	perverted (Lolita is a challenging novel for many, not necessarily because of the elevated prose style but because of the depravity of the main character, Humbert Humbert, who, as an old, .. Man, fall in lowve with a girl)	English
myopic	shortsighted (The company ultimately went out of business because the ... managers couldn't predict the changes in their industry)	English
mendicant	beggar (Tolsoy was an arisocrat but he strove to understand the Christianity of the Russian peasnt by wandering among them as a ..)	English
snide	indirect mocking (The chairman interpreted Taylor's question about promotions as a .. Remark, but in all innocence Taylor was trying to figure out the company's process)	English
ostentatious	showy (Matt wanted to buy stone lions for front of the house, but Cynthia convinced him that such a display would be too .. For a modest house in an unassuming neighborhood)	English
sycophant	flatterer (The CEO was unaware of the damaging consequences of his choices, largely because he surrounded himself with ... who would never dare criticize him.)	English
facetious	humorous (... behaviour will not be tolerated during sex education class, it's time for all of you to treat these matters like mature adults)	English
schadenfreude	joy in others' suffering (From his warm apartment window, Stanley reveled in .. As he laughed at the figures below, huddled together in the artic chill)	English
unprepossessing	unremarkable (World leaders coming to meet Gandhi would expect a towering sage, and often would be surprised by the ... little man dressed only in a loincloth and shawl)	English
